course,type/info,day+time,location,enrollment,Instructor

ANAT&nbsp; 100 - 001&nbsp;&nbsp; Anatomy of the Human Body,Queen's University | 2022 Winter | Blended,Th 08:30 - 10:30,TBA,86,"MacKenzie,Leslie"

ANAT&nbsp; 100 - 002&nbsp;&nbsp; Anatomy of the Human Body,Queen's University | 2022 Winter | Blended,Th 10:30 - 12:30,TBA,94,"MacKenzie,Leslie"

ANAT&nbsp; 100 - 003&nbsp;&nbsp; Anatomy of the Human Body,Queen's University | 2022 Winter | Blended,We 14:30 - 16:30,TBA,91,"MacKenzie,Leslie"

ANAT&nbsp; 100 - 004&nbsp;&nbsp; Anatomy of the Human Body,Queen's University | 2022 Winter | Blended,We 18:30 - 20:30,TBA,98,"MacKenzie,Leslie"

ANAT&nbsp; 100 - 005&nbsp;&nbsp; Anatomy of the Human Body,Queen's University | 2022 Winter | Tutorial,Mo 11:30 - 12:30,DUNNING AUD,369,"MacKenzie,Leslie"

COGS&nbsp; 100 - 001&nbsp;&nbsp; Introduction to Cognitive Science,Queen's University | 2022 Winter | Lecture,Mo 11:30 - 12:30,STIRLING RM A,137,"Zulkernine,Farhana"

NURS&nbsp; 100 - 001&nbsp;&nbsp; Nutrition And Health,Queen's University | 2022 Winter | Lecture,Th 18:00 - 21:00,WALTER LIGHT RM205,166,"Lalonde,Jeffrey"

ANAT&nbsp; 101 - 001&nbsp;&nbsp; Introductory Human Anatomy,Queen's University | 2022 Winter | Lecture,Mo 14:30 - 15:30,WALTER LIGHT RM205,192,"Graham,Charles H"

ANAT&nbsp; 101 - 002&nbsp;&nbsp; Introductory Human Anatomy,Queen's University | 2022 Winter | Laboratory,Th 12:30 - 14:30,MEDS RM302 - Anatomy,95,"Graham,Charles H"

ANAT&nbsp; 101 - 003&nbsp;&nbsp; Introductory Human Anatomy,Queen's University | 2022 Winter | Laboratory,Th 14:30 - 16:30,MEDS RM302 - Anatomy,97,"Graham,Charles H"

CISC&nbsp; 101 - 001&nbsp;&nbsp; Elements of Computing Science,Queen's University | 2022 Winter | Lecture,Tu 09:30 - 10:30,DUPUIS AUD,147,"Powley,Wendy L"

GPHY&nbsp; 101 - 001&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Seminar,Th 08:30 - 10:30,DUNNING AUD,409,"Grossutti,Christine"

GPHY&nbsp; 101 - 002&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,We 10:00 - 11:30,MACINTOSH-CORRY RM E229,33,"Grossutti,Christine"

GPHY&nbsp; 101 - 003&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,We 08:30 - 10:00,MACINTOSH-CORRY RM E229,35,"Grossutti,Christine"

GPHY&nbsp; 101 - 004&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Tu 16:00 - 17:30,MACINTOSH-CORRY RM E229,35,"Grossutti,Christine"

GPHY&nbsp; 101 - 005&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Tu 14:30 - 16:00,MACINTOSH-CORRY RM E229,35,"Grossutti,Christine"

GPHY&nbsp; 101 - 006&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Tu 13:00 - 14:30,MACINTOSH-CORRY RM E229,33,"Grossutti,Christine"

GPHY&nbsp; 101 - 007&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Mo 16:00 - 17:30,MACINTOSH-CORRY RM E229,33,"Grossutti,Christine"

GPHY&nbsp; 101 - 008&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Mo 13:00 - 14:30,MACINTOSH-CORRY RM E229,35,"Grossutti,Christine"

GPHY&nbsp; 101 - 009&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Mo 11:30 - 13:00,MACINTOSH-CORRY RM E229,34,"Grossutti,Christine"

GPHY&nbsp; 101 - 010&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Mo 10:00 - 11:30,MACINTOSH-CORRY RM E229,34,"Grossutti,Christine"

GPHY&nbsp; 101 - 011&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,Mo 08:30 - 10:00,MACINTOSH-CORRY RM E229,35,"Grossutti,Christine"

GPHY&nbsp; 101 - 012&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,We 13:00 - 14:30,MACINTOSH-CORRY RM E229,33,"Grossutti,Christine"

GPHY&nbsp; 101 - 013&nbsp;&nbsp; Human Geography,Queen's University | 2022 Winter | Tutorial,We 11:30 - 13:00,MACINTOSH-CORRY RM E229,34,"Grossutti,Christine"

GRMN&nbsp; 101 - 001&nbsp;&nbsp; Beginner's German I,Queen's University | 2022 Winter | Lecture,Tu 18:30 - 21:30,JOHN WATSON RM217,55,"Maliszewska,Margaret"

ANSH&nbsp; 102 - 001&nbsp;&nbsp; Beginning Anishinaabe Language and Culture Il,Queen's University | 2022 Winter | Lecture,Mo 16:00 - 17:30,KINGSTON RM313,20,"Debassige,Kimberley"

"ASTR&nbsp; 102 - 001&nbsp;&nbsp; Astronomy II: Stars, Galaxies, and the Universe",Queen's University | 2022 Winter | Lecture,Mo 13:30 - 14:30,STIRLING AUD,120,"Park,Nahee"

CISC&nbsp; 102 - 001&nbsp;&nbsp; Discrete Mathematics for Computing l,Queen's University | 2022 Winter | Lecture,Tu 08:30 - 09:30,ETHERINGTON AUD,138,"Akl,Selim G"

FOUN&nbsp; 102 - 001&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Lecture,Tu 13:30 - 15:30,DUNCAN MCARTHUR RM B101,444,"McGregor,Heather"

FOUN&nbsp; 102 - 002&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Th 13:30 - 15:30,DUNCAN MCARTHUR RM A241,45,Staff

FOUN&nbsp; 102 - 003&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Th 13:30 - 15:30,DUNCAN MCARTHUR RM A234,47,Staff

FOUN&nbsp; 102 - 004&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Th 13:30 - 15:30,DUNCAN MCARTHUR RM A227W,49,Staff

FOUN&nbsp; 102 - 005&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Th 13:30 - 15:30,DUNCAN MCARTHUR RM A341,48,Staff

FOUN&nbsp; 102 - 006&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Th 13:30 - 15:30,DUNCAN MCARTHUR RM B230,47,Staff

FOUN&nbsp; 102 - 007&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM A241,43,Staff

FOUN&nbsp; 102 - 008&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM A234,43,Staff

FOUN&nbsp; 102 - 009&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM A227W,42,Staff

